snakeid,mass_g,date,time,temp,location
NG10,378.1,5/28/2020,6:59,14.146,rook
NG10,378.1,5/28/2020,7:59,14.146,rook
NG10,378.1,5/28/2020,8:59,14.146,rook
NG10,378.1,5/28/2020,9:59,14.146,rook
NG10,378.1,5/28/2020,10:59,14.647,rook
NG10,378.1,5/28/2020,11:59,15.651,rook
NG10,378.1,5/28/2020,12:59,16.653,rook
NG10,378.1,5/28/2020,13:59,18.157,rook
NG10,378.1,5/28/2020,14:59,19.66,rook
NG10,378.1,5/28/2020,15:59,21.163,rook
NG10,378.1,5/28/2020,16:59,22.164,rook
NG10,378.1,5/28/2020,17:59,22.664,rook
NG10,378.1,5/28/2020,18:59,23.165,rook
NG10,378.1,5/28/2020,19:59,22.164,rook
NG10,378.1,5/28/2020,20:59,21.163,rook
NG10,378.1,5/28/2020,21:59,20.662,rook
NG10,378.1,5/28/2020,22:59,20.161,rook
NG10,378.1,5/28/2020,23:59,19.159,rook
NG10,378.1,5/29/2020,0:59,18.658,rook
NG10,378.1,5/29/2020,1:59,17.155,rook
NG10,378.1,5/29/2020,2:59,16.653,rook
NG10,378.1,5/29/2020,3:59,16.152,rook
NG10,378.1,5/29/2020,4:59,15.651,rook
NG10,378.1,5/29/2020,5:59,14.647,rook
NG10,378.1,5/29/2020,6:59,14.146,rook
NG10,378.1,5/29/2020,7:59,14.146,rook
NG10,378.1,5/29/2020,8:59,14.146,rook
NG10,378.1,5/29/2020,9:59,14.647,rook
NG10,378.1,5/29/2020,10:59,15.651,rook
NG10,378.1,5/29/2020,11:59,16.653,rook
NG10,378.1,5/29/2020,12:59,19.159,rook
NG10,378.1,5/29/2020,13:59,20.662,rook
NG10,378.1,5/29/2020,14:59,21.663,rook
NG10,378.1,5/29/2020,15:59,22.664,rook
NG10,378.1,5/29/2020,16:59,24.166,rook
NG10,378.1,5/29/2020,17:59,24.166,rook
NG10,378.1,5/29/2020,18:59,24.166,rook
NG10,378.1,5/29/2020,19:59,23.665,rook
NG10,378.1,5/29/2020,20:59,23.165,rook
NG10,378.1,5/29/2020,21:59,22.664,rook
NG10,378.1,5/29/2020,22:59,22.164,rook
NG10,378.1,5/29/2020,23:59,21.663,rook
NG10,378.1,5/30/2020,0:59,20.662,rook
NG10,378.1,5/30/2020,1:59,20.161,rook
NG10,378.1,5/30/2020,2:59,19.66,rook
NG10,378.1,5/30/2020,3:59,18.658,rook
NG10,378.1,5/30/2020,4:59,18.157,rook
NG10,378.1,5/30/2020,5:59,17.155,rook
NG10,378.1,5/30/2020,6:59,16.653,rook
NG10,378.1,5/30/2020,7:59,16.653,rook
NG10,378.1,5/30/2020,8:59,16.653,rook
NG10,378.1,5/30/2020,9:59,17.155,rook
NG10,378.1,5/30/2020,10:59,18.157,rook
NG10,378.1,5/30/2020,11:59,18.658,rook
NG10,378.1,5/30/2020,12:59,19.66,rook
NG10,378.1,5/30/2020,13:59,20.662,rook
NG10,378.1,5/30/2020,14:59,27.166,rook
NG10,378.1,5/30/2020,15:59,26.166,rook
NG10,378.1,5/30/2020,16:59,26.666,rook
NG10,378.1,5/30/2020,17:59,26.166,rook
NG10,378.1,5/30/2020,18:59,26.666,rook
NG10,378.1,5/30/2020,19:59,28.165,rook
NG10,378.1,5/30/2020,20:59,27.666,rook
NG10,378.1,5/30/2020,21:59,25.666,rook
NG10,378.1,5/30/2020,22:59,24.666,rook
NG10,378.1,5/30/2020,23:59,23.165,rook
NG10,378.1,5/31/2020,0:59,22.164,rook
NG10,378.1,5/31/2020,1:59,23.665,rook
NG10,378.1,5/31/2020,2:59,24.666,rook
NG10,378.1,5/31/2020,3:59,24.166,rook
NG10,378.1,5/31/2020,4:59,22.664,rook
NG10,378.1,5/31/2020,5:59,21.663,rook
NG10,378.1,5/31/2020,6:59,21.163,rook
NG10,378.1,5/31/2020,7:59,21.663,rook
NG10,378.1,5/31/2020,8:59,22.164,rook
NG10,378.1,5/31/2020,9:59,23.165,rook
