ID,Site,Location,Treatment,DateTime,Date,Time,Time_Int,Temp
OTM1,Ledge1B,Rookery,Shaded,5/30/2020 14:00,5/30/2020,14:00,14,12.5
OTM1,Ledge1B,Rookery,Shaded,5/30/2020 15:00,5/30/2020,15:00,15,12.5
OTM1,Ledge1B,Rookery,Shaded,5/30/2020 16:00,5/30/2020,16:00,16,12
OTM1,Ledge1B,Rookery,Shaded,5/30/2020 17:00,5/30/2020,17:00,17,11.5
OTM1,Ledge1B,Rookery,Shaded,5/30/2020 18:00,5/30/2020,18:00,18,12
OTM1,Ledge1B,Rookery,Shaded,5/30/2020 19:00,5/30/2020,19:00,19,11.5
OTM1,Ledge1B,Rookery,Shaded,5/30/2020 20:00,5/30/2020,20:00,20,12
OTM1,Ledge1B,Rookery,Shaded,5/30/2020 21:00,5/30/2020,21:00,21,12
OTM1,Ledge1B,Rookery,Shaded,5/30/2020 22:00,5/30/2020,22:00,22,12
OTM1,Ledge1B,Rookery,Shaded,5/30/2020 23:00,5/30/2020,23:00,23,12
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 0:00,5/31/2020,0:00,0,12
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 1:00,5/31/2020,1:00,1,12
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 2:00,5/31/2020,2:00,2,12
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 3:00,5/31/2020,3:00,3,12
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 4:00,5/31/2020,4:00,4,12
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 5:00,5/31/2020,5:00,5,11.5
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 6:00,5/31/2020,6:00,6,11.5
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 7:00,5/31/2020,7:00,7,11.5
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 8:00,5/31/2020,8:00,8,11.5
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 9:00,5/31/2020,9:00,9,12
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 10:00,5/31/2020,10:00,10,12
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 11:00,5/31/2020,11:00,11,12
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 12:00,5/31/2020,12:00,12,12.5
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 13:00,5/31/2020,13:00,13,12.5
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 14:00,5/31/2020,14:00,14,12.5
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 15:00,5/31/2020,15:00,15,12
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 16:00,5/31/2020,16:00,16,12
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 17:00,5/31/2020,17:00,17,12
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 18:00,5/31/2020,18:00,18,12.5
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 19:00,5/31/2020,19:00,19,12.5
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 20:00,5/31/2020,20:00,20,12.5
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 21:00,5/31/2020,21:00,21,12.5
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 22:00,5/31/2020,22:00,22,12.5
OTM1,Ledge1B,Rookery,Shaded,5/31/2020 23:00,5/31/2020,23:00,23,12
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 0:00,6/1/2020,0:00,0,12
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 1:00,6/1/2020,1:00,1,12
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 2:00,6/1/2020,2:00,2,12
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 3:00,6/1/2020,3:00,3,12
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 4:00,6/1/2020,4:00,4,12
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 5:00,6/1/2020,5:00,5,12
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 6:00,6/1/2020,6:00,6,12
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 7:00,6/1/2020,7:00,7,12
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 8:00,6/1/2020,8:00,8,12
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 9:00,6/1/2020,9:00,9,12
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 10:00,6/1/2020,10:00,10,12.5
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 11:00,6/1/2020,11:00,11,12.5
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 12:00,6/1/2020,12:00,12,12.5
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 13:00,6/1/2020,13:00,13,12.5
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 14:00,6/1/2020,14:00,14,12.5
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 15:00,6/1/2020,15:00,15,12
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 16:00,6/1/2020,16:00,16,12
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 17:00,6/1/2020,17:00,17,12.5
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 18:00,6/1/2020,18:00,18,12.5
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 19:00,6/1/2020,19:00,19,12.5
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 20:00,6/1/2020,20:00,20,12.5
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 21:00,6/1/2020,21:00,21,12.5
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 22:00,6/1/2020,22:00,22,12.5
OTM1,Ledge1B,Rookery,Shaded,6/1/2020 23:00,6/1/2020,23:00,23,12.5
OTM1,Ledge1B,Rookery,Shaded,6/2/2020 0:00,6/2/2020,0:00,0,12.5
OTM1,Ledge1B,Rookery,Shaded,6/2/2020 1:00,6/2/2020,1:00,1,12.5
OTM1,Ledge1B,Rookery,Shaded,6/2/2020 2:00,6/2/2020,2:00,2,12
OTM1,Ledge1B,Rookery,Shaded,6/2/2020 3:00,6/2/2020,3:00,3,12
OTM1,Ledge1B,Rookery,Shaded,6/2/2020 4:00,6/2/2020,4:00,4,12
OTM1,Ledge1B,Rookery,Shaded,6/2/2020 5:00,6/2/2020,5:00,5,11.5
OTM1,Ledge1B,Rookery,Shaded,6/2/2020 6:00,6/2/2020,6:00,6,11.5
OTM1,Ledge1B,Rookery,Shaded,6/2/2020 7:00,6/2/2020,7:00,7,11.5
OTM1,Ledge1B,Rookery,Shaded,6/2/2020 8:00,6/2/2020,8:00,8,12
