id,site,location,treatment,datetime,temp,day,hour
OTM1,Ledge1B,Rookery,Shaded,2020-05-30T14:00:00Z,12.5,151,14
OTM1,Ledge1B,Rookery,Shaded,2020-05-30T15:00:00Z,12.5,151,15
OTM1,Ledge1B,Rookery,Shaded,2020-05-30T16:00:00Z,12,151,16
OTM1,Ledge1B,Rookery,Shaded,2020-05-30T17:00:00Z,11.5,151,17
OTM1,Ledge1B,Rookery,Shaded,2020-05-30T18:00:00Z,12,151,18
OTM1,Ledge1B,Rookery,Shaded,2020-05-30T19:00:00Z,11.5,151,19
OTM1,Ledge1B,Rookery,Shaded,2020-05-30T20:00:00Z,12,151,20
OTM1,Ledge1B,Rookery,Shaded,2020-05-30T21:00:00Z,12,151,21
OTM1,Ledge1B,Rookery,Shaded,2020-05-30T22:00:00Z,12,151,22
OTM1,Ledge1B,Rookery,Shaded,2020-05-30T23:00:00Z,12,151,23
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T00:00:00Z,12,152,0
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T01:00:00Z,12,152,1
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T02:00:00Z,12,152,2
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T03:00:00Z,12,152,3
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T04:00:00Z,12,152,4
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T05:00:00Z,11.5,152,5
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T06:00:00Z,11.5,152,6
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T07:00:00Z,11.5,152,7
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T08:00:00Z,11.5,152,8
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T09:00:00Z,12,152,9
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T10:00:00Z,12,152,10
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T11:00:00Z,12,152,11
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T12:00:00Z,12.5,152,12
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T13:00:00Z,12.5,152,13
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T14:00:00Z,12.5,152,14
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T15:00:00Z,12,152,15
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T16:00:00Z,12,152,16
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T17:00:00Z,12,152,17
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T18:00:00Z,12.5,152,18
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T19:00:00Z,12.5,152,19
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T20:00:00Z,12.5,152,20
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T21:00:00Z,12.5,152,21
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T22:00:00Z,12.5,152,22
OTM1,Ledge1B,Rookery,Shaded,2020-05-31T23:00:00Z,12,152,23
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T00:00:00Z,12,153,0
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T01:00:00Z,12,153,1
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T02:00:00Z,12,153,2
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T03:00:00Z,12,153,3
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T04:00:00Z,12,153,4
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T05:00:00Z,12,153,5
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T06:00:00Z,12,153,6
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T07:00:00Z,12,153,7
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T08:00:00Z,12,153,8
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T09:00:00Z,12,153,9
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T10:00:00Z,12.5,153,10
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T11:00:00Z,12.5,153,11
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T12:00:00Z,12.5,153,12
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T13:00:00Z,12.5,153,13
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T14:00:00Z,12.5,153,14
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T15:00:00Z,12,153,15
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T16:00:00Z,12,153,16
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T17:00:00Z,12.5,153,17
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T18:00:00Z,12.5,153,18
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T19:00:00Z,12.5,153,19
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T20:00:00Z,12.5,153,20
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T21:00:00Z,12.5,153,21
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T22:00:00Z,12.5,153,22
OTM1,Ledge1B,Rookery,Shaded,2020-06-01T23:00:00Z,12.5,153,23
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T00:00:00Z,12.5,154,0
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T01:00:00Z,12.5,154,1
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T02:00:00Z,12,154,2
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T03:00:00Z,12,154,3
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T04:00:00Z,12,154,4
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T05:00:00Z,11.5,154,5
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T06:00:00Z,11.5,154,6
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T07:00:00Z,11.5,154,7
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T08:00:00Z,12,154,8
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T09:00:00Z,12,154,9
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T10:00:00Z,12,154,10
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T11:00:00Z,12.5,154,11
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T12:00:00Z,12.5,154,12
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T13:00:00Z,12.5,154,13
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T14:00:00Z,13,154,14
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T15:00:00Z,12.5,154,15
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T16:00:00Z,12.5,154,16
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T17:00:00Z,12.5,154,17
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T18:00:00Z,12.5,154,18
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T19:00:00Z,13,154,19
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T20:00:00Z,12.5,154,20
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T21:00:00Z,13,154,21
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T22:00:00Z,13,154,22
OTM1,Ledge1B,Rookery,Shaded,2020-06-02T23:00:00Z,13,154,23
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T00:00:00Z,12.5,155,0
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T01:00:00Z,12.5,155,1
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T02:00:00Z,12,155,2
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T03:00:00Z,12,155,3
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T04:00:00Z,12,155,4
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T05:00:00Z,11.5,155,5
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T06:00:00Z,11.5,155,6
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T07:00:00Z,11.5,155,7
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T08:00:00Z,12,155,8
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T09:00:00Z,12,155,9
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T10:00:00Z,12.5,155,10
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T11:00:00Z,12.5,155,11
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T12:00:00Z,12.5,155,12
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T13:00:00Z,12.5,155,13
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T14:00:00Z,12.5,155,14
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T15:00:00Z,12.5,155,15
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T16:00:00Z,13,155,16
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T17:00:00Z,13,155,17
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T18:00:00Z,13,155,18
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T19:00:00Z,12.5,155,19
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T20:00:00Z,12.5,155,20
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T21:00:00Z,12.5,155,21
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T22:00:00Z,13,155,22
OTM1,Ledge1B,Rookery,Shaded,2020-06-03T23:00:00Z,13,155,23
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T00:00:00Z,13,156,0
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T01:00:00Z,12.5,156,1
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T02:00:00Z,13,156,2
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T03:00:00Z,12.5,156,3
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T04:00:00Z,12.5,156,4
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T05:00:00Z,12,156,5
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T06:00:00Z,12,156,6
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T07:00:00Z,12,156,7
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T08:00:00Z,12.5,156,8
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T09:00:00Z,12.5,156,9
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T10:00:00Z,13,156,10
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T11:00:00Z,13,156,11
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T12:00:00Z,12.5,156,12
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T13:00:00Z,12.5,156,13
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T14:00:00Z,12.5,156,14
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T15:00:00Z,12.5,156,15
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T16:00:00Z,12.5,156,16
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T17:00:00Z,12.5,156,17
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T18:00:00Z,12.5,156,18
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T19:00:00Z,13,156,19
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T20:00:00Z,13,156,20
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T21:00:00Z,13,156,21
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T22:00:00Z,13,156,22
OTM1,Ledge1B,Rookery,Shaded,2020-06-04T23:00:00Z,13,156,23
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T00:00:00Z,12.5,157,0
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T01:00:00Z,12.5,157,1
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T02:00:00Z,12.5,157,2
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T03:00:00Z,12.5,157,3
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T04:00:00Z,12.5,157,4
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T05:00:00Z,12,157,5
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T06:00:00Z,12,157,6
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T07:00:00Z,12,157,7
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T08:00:00Z,12.5,157,8
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T09:00:00Z,12.5,157,9
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T10:00:00Z,12.5,157,10
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T11:00:00Z,13,157,11
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T12:00:00Z,13,157,12
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T13:00:00Z,13,157,13
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T14:00:00Z,13.5,157,14
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T15:00:00Z,13.5,157,15
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T16:00:00Z,13.5,157,16
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T17:00:00Z,13.5,157,17
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T18:00:00Z,13.5,157,18
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T19:00:00Z,13.5,157,19
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T20:00:00Z,13,157,20
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T21:00:00Z,13.5,157,21
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T22:00:00Z,13.5,157,22
OTM1,Ledge1B,Rookery,Shaded,2020-06-05T23:00:00Z,13,157,23
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T00:00:00Z,13,158,0
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T01:00:00Z,13,158,1
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T02:00:00Z,13,158,2
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T03:00:00Z,13,158,3
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T04:00:00Z,13,158,4
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T05:00:00Z,13,158,5
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T06:00:00Z,13,158,6
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T07:00:00Z,13,158,7
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T08:00:00Z,13,158,8
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T09:00:00Z,13,158,9
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T10:00:00Z,13,158,10
